Date,Time,Region,Spot,Wave_Height_ft,Surfline_Wave_Height_ft,Wind_Direction,Wind_Strength_mph,Observation_Type,Entered_By,Notes
1/28/2024,8:00:00 AM,Northern California,Moss Landing,8-10,,,,Surfing,Garrett,Dunes (North of Jetty)
5/5/2024,7:00:00 AM,Northern California,Blacks,3-4,2-3,,,Surfing,Garrett,
5/8/2024,7:00:00 AM,Northern California,Blacks,3-4,2-3,,,Surfing,Garrett,
5/9/2024,6:00:00 PM,Northern California,Pleasure Point Jacks,1-2,1-2,,,Surfing,Garrett,
6/3/2024,7:00:00 AM,Northern California,Waddell Creek Reef,4-5,2-3,,,Surfing,Garrett,
6/5/2024,7:00:00 AM,Northern California,Natural Bridges,2-4,4-6,,,Surfing,Garrett,
6/5/2024,1:00:00 PM,Northern California,Blacks,3-5,3-4,,,Surfing,Garrett,
6/6/2024,6:00:00 AM,Northern California,Natural Bridges,5-6,6-8,,,Surfing,Garrett,
6/9/2024,7:00:00 AM,Northern California,Swift Street,3-5,3-4,,,Surfing,Garrett,
6/10/2024,7:00:00 AM,Northern California,26th Ave,5-6,4-6,,,Surfing,Garrett,
6/12/2024,6:00:00 AM,Northern California,Blacks,3-4,3-4,,,Surfing,Garrett,
6/14/2024,7:00:00 PM,Northern California,Blacks,3-4,2-3,,,Surfing,Garrett,
7/4/2024,7:00:00 PM,Northern California,Laguna Creek,2-4,,,,Surfing,Garrett,
7/6/2024,6:00:00 AM,Northern California,Swift Street,3-4,4-6,,,Surfing,Garrett,
7/22/2024,5:00:00 PM,Northern California,Laguna Creek,3-5,,,,Surfing,Garrett,
10/3/2024,4:30:00 PM,Northern California,Pleasure Point Jacks,2-3,1-2,,,Surfing,Garrett,
10/14/2024,6:00:00 PM,Northern California,Santa Maria,4-5,,,,Surfing,Garrett,
10/15/2024,6:00:00 PM,Northern California,Natural Bridges,4-5,6-8,,,Surfing,Garrett,
10/28/2024,7:00:00 AM,Northern California,Santa Maria,3-4,,,,Surfing,Garrett,
10/29/2024,7:00:00 AM,Northern California,Santa Maria,2-3,,,,Surfing,Garrett,
10/30/2024,7:00:00 AM,Northern California,Laguna Creek,3-4,,,,Surfing,Garrett,
11/1/2024,7:00:00 AM,Northern California,Waddell Creek Reef,5-6,8-10,,,Surfing,Garrett,
11/4/2024,7:00:00 AM,Northern California,Laguna Creek,6-8,,,,Surfing,Garrett,
11/4/2024,5:00:00 PM,Northern California,Pleasure Point Sewers,5-6,4-6,,,Surfing,Garrett,
11/5/2024,7:30:00 AM,Northern California,Santa Maria,3-4,,,,Surfing,Garrett,
11/6/2024,5:00:00 PM,Northern California,Waddell Creek Reef,3-5,4-6,,,Surfing,Garrett,
11/12/2024,7:30:00 AM,Northern California,Waddell Creek Reef,8-10,8-10,,,Surfing,Garrett,
11/13/2024,7:30:00 AM,Northern California,Santa Maria,4-5,,,,Surfing,Garrett,
11/13/2024,5:00:00 PM,Northern California,Laguna Creek,6-7,,,,Surfing,Garrett,
11/15/2024,7:30:00 AM,Northern California,Blacks,4-5,6-8,,,Surfing,Garrett,
11/19/2024,7:30:00 AM,Northern California,Laguna Creek,6-7,,,,Surfing,Garrett,
11/19/2024,5:00:00 PM,Northern California,Waddell Creek Reef,5-6,5-7,,,Surfing,Garrett,
11/23/2024,7:30:00 AM,Northern California,Blacks,4-5,4-5,,,Surfing,Garrett,
