break_id,spot_id,break_name,spot_name,lat,lon,wave_direction,swell_window_start,swell_window_end
54,39,Willow Creek,Willow Creek,35.894334754558805,-121.46282672882081,240,208.6,319.3
52,16,Fullers,Fullers,36.20787082682866,-121.74366742372516,214,132.6,285.7
50,9,Carmel Point,Carmel Point,36.545001187859256,-121.93489551544191,270,218.0,310.6
47,4,Reef,Asilomar,36.61666,-121.947413,324,239.3,325.8
30,26,Privates,Pleasure Point,36.963986115235926,-121.9604516029358,151,181.9,217.9
32,26,The Hook,Pleasure Point,36.95965277904864,-121.96402966976167,170,181.8,234.2
31,26,Jacks,Pleasure Point,36.95709362590695,-121.96802616119386,165,180.9,235.9
29,26,Second Peak,Pleasure Point,36.95534464417764,-121.9701397418976,169,180.9,249.0
27,26,Sewers,Pleasure Point,36.95359559940877,-121.97298824787141,180,180.7,265.6
28,26,First Peak,Pleasure Point,36.95385698447019,-121.97144329547884,193,180.9,266.1
26,26,Rockview,Pleasure Point,36.953994,-121.974802,186,180.2,265.4
19,19,Mitchell's Cove,Mitchell's Cove,36.951271,-122.04178,153,172.2,242.3
18,36,Swift Street,Swift Street,36.94894004665775,-122.04866409301759,165,171.2,266.3
17,23,Natural Bridges,Natural Bridges,36.94894852799567,-122.06106662750246,173,170.3,256.2
16,37,Three Mile,Three Mile,36.96175745480028,-122.1174466609955,194,124.8,291.6
15,15,Four Mile,Four Mile,36.96507499144963,-122.12460279464723,147,125.4,260.9
14,12,Davenport Landing,Davenport Landing,37.020048,-122.217566,232,129.9,312.3
12,38,Reef,Waddell Creek,37.088274,-122.277196,248,146.1,292.1
1,14,Fort Point,Fort Point,37.810841,-122.476326,345,226.1,280.6
36,11,Cronkite,Cronkite,37.829788,-122.537597,225,177.4,296.1
41,35,Stinson Beach,Stinson Beach,37.895859,-122.641405,225,165.3,268.4
39,27,North Beach,Point Reyes,38.078578,-122.977357,290,187.7,24.4
38,13,Dillon Beach,Dillon Beach,38.249604,-122.97142,280,247.5,304.6
53,31,Sand Dollar,Sand Dollar,35.924722886522495,-121.47000432014467,287,220.1,317.6
49,8,Carmel Beach,Carmel Beach,36.552106,-121.931145,270,214.8,294.2
35,22,Moss Landing,Moss Landing,36.814221,-121.79356,255,213.7,299.7
34,18,Manresa,Manresa,36.93121,-121.863854,249,191.1,276.1
44,32,Santa Maria,Santa Maria,36.95972130832453,-121.9879335165024,180,178.8,253.7
43,5,Blacks,Blacks,36.959195,-121.992979,202,178.0,252.6
42,17,Laguna Creek,Laguna Creek,36.981369209632604,-122.1561884880066,255,153.6,303.1
11,38,Beach,Waddell Creek,37.096511,-122.28278,239,146.5,283.8
4,24,South,Ocean Beach,37.735434,-122.512323,250,182.7,303.9
3,24,Central,Ocean Beach,37.745319,-122.514099,263,181.5,302.6
2,24,North,Ocean Beach,37.764885,-122.516658,266,181.2,300.8
10,3,Ano Nuevo,Ano Nuevo,37.116448,-122.313657,195,141.6,242.0
9,28,Princeton Jetty,Princeton Jetty,37.500063,-122.470624,195,170.8,242.0
8,20,Montara,Montara,37.545929,-122.516613,293,195.9,319.2
7,25,Linda Mar,Pacifica,37.597324,-122.505064,300,280.5,314.3
6,25,Linda Mar North,Pacifica,37.602028,-122.500666,304,253.1,314.3
37,30,Salmon Creek,Salmon Creek,38.356979,-123.068525,270,192.7,315.2
40,6,Bolinas,Bolinas,37.903797,-122.685508,170,160.9,233.3
51,2,Andrew Molera,Andrew Molera,36.280364559863926,-121.85911774635316,171,151.2,211.7
48,21,Moss Beach,Moss Beach,36.610884,-121.951075,321,265.5,328.6
46,4,Middles,Asilomar,36.617716,-121.9444,304,236.9,327.4
45,4,Roadsides,Asilomar,36.619997,-121.943606,308,234.6,327.4
33,7,Capitola,Capitola,36.9716260648133,-121.94900125265124,167,183.4,228.0
25,40,Wind and Sea,Wind and Sea,36.955064,-121.977397,211,172.5,263.8
24,1,26th Ave,26th Ave,36.9562363298356,-121.98080420494081,210,179.6,259.9
23,10,Cowells,Cowells,36.95844832786912,-122.02330112457277,159,174.0,194.8
22,34,Indicators,Steamer Lane,36.95383582150793,-122.02346205711366,156,174.5,216.8
20,34,Point,Steamer Lane,36.95072345524198,-122.02609062194826,165,174.1,265.3
21,34,Middle Peak,Steamer Lane,36.95054306508662,-122.02346205711366,150,174.1,265.8
13,33,Scott Creek,Scott Creek,37.041051,-122.236232,240,146.5,309.4
5,29,Rockaway,Rockaway,37.608372,-122.498692,309,250.7,313.3
